日期,證券代號,證券名稱,外陸資買賣超股數(不含外資自營商),投信買賣超股數,自營商買賣超股數,三大法人買賣超股數
20260105,00898,國泰基因免疫革命,"516,000",0,"63,000","579,000"
20260105,00986A,主動台新龍頭成長,"83,000",0,"485,129","568,129"
20260105,00921,兆豐龍頭等權重  ,"324,000",0,"233,332","557,332"
20260105,00706L,期元大S&P日圓正2,"-20,000",0,"575,061","555,061"
20260105,00893,國泰智能電動車  ,"411,117",0,"112,379","523,496"
20260105,00945B,凱基美國非投等債,"3,323,000",0,"-2,815,990","507,010"
20260105,00971,野村美國研發龍頭,"-20,913",0,"494,161","473,248"
20260105,00938,凱基優選30      ,"20,000",0,"445,849","465,849"
20260105,00690,兆豐藍籌30      ,"28,000",0,"377,140","405,140"
20260105,00903,富邦元宇宙      ,"52,000",0,"261,278","313,278"
20260105,00717,富邦美國特別股  ,"290,000",0,"14,000","304,000"
20260105,00731,復華富時高息低波,"52,000",0,"249,549","301,549"
20260105,009808,華南永昌優選50  ,"105,000",0,"180,133","285,133"
20260105,006205,富邦上証        ,"20,000",0,"243,851","263,851"
20260105,00987A,主動台新優勢成長,"5,585,490",0,"-5,354,415","231,075"
20260105,00962,台新AI優息動能  ,"4,000",0,"218,663","222,663"
20260105,00912,中信臺灣智慧50  ,"76,050",0,"128,132","204,182"
20260105,00640L,富邦日本正2     ,"1,000",0,"200,857","201,857"
20260105,00894,中信小資高價30  ,"29,000",0,"147,863","176,863"
20260105,00685L,群益臺灣加權正2 ,"37,000",0,"135,167","172,167"
20260105,00657,國泰日經225     ,"-4,000",0,"174,591","170,591"
20260105,006206,元大上證50      ,"12,000",0,"155,594","167,594"
20260105,00920,富邦ESG綠色電力 ,"489,000",0,"-333,362","155,638"
20260105,00728,第一金工業30    ,"23,000",0,"127,226","150,226"
20260105,00897,富邦基因免疫生技,"218,000",0,"-72,035","145,965"
20260105,00926,凱基全球菁英55  ,"1,000",0,"136,316","137,316"
20260105,00943,兆豐電子高息等權,"153,000",0,"-16,667","136,333"
20260105,0061,元大寶滬深      ,"36,000",0,"97,529","133,529"
20260105,00876,元大全球5G      ,"-3,000",0,"112,954","109,954"
20260105,00655L,國泰中國A50正2  ,"136,000",0,"-31,675","104,325"
20260105,00666R,富邦恒生國企反1 ,0,0,"101,000","101,000"
20260105,00861,元大全球未來通訊,"14,000",0,"80,353","94,353"
20260105,00913,兆豐台灣晶圓製造,"17,000",0,"76,081","93,081"
20260105,00985A,主動野村台灣50  ,"-164,800",0,"256,153","91,353"
20260105,00654R,富邦印度反1     ,0,0,"84,998","84,998"
20260105,00911,兆豐洲際半導體  ,-650,0,"84,885","84,235"
20260105,00651R,復華香港反1     ,0,0,"82,600","82,600"
20260105,009801,中信美國創新科技,"-115,900",0,"182,500","66,600"
20260105,00638R,元大滬深300反1  ,0,0,"65,100","65,100"
20260105,00639,富邦深100       ,"-1,000",0,"64,183","63,183"
20260105,00681R,元大美債20反1   ,0,0,"61,000","61,000"
20260105,00684R,期元大美元指反1 ,0,0,"58,000","58,000"
20260105,00683L,期元大美元指正2 ,0,0,"55,116","55,116"
20260105,0051,元大中型100     ,0,0,"53,157","53,157"
20260105,00645,富邦日本        ,"14,084",0,"35,988","50,072"
20260105,006207,復華滬深        ,"3,000",0,"40,884","43,884"
20260105,00783,富邦中証500     ,0,0,"42,616","42,616"
20260105,00653L,富邦印度正2     ,"-4,000",0,"42,849","38,849"
20260105,00771,元大US高息特別股,0,0,"36,000","36,000"
20260105,00737,國泰AI機器人    ,"82,000",0,"-47,009","34,991"
20260105,00633L,富邦上証正2     ,"168,000",0,"-136,818","31,182"
20260105,00983D,主動富邦複合收益,"392,000",0,"-365,833","26,167"
20260105,00851,台新全球AI      ,"1,000",0,"23,000","24,000"
20260105,00739,元大MSCI A股    ,0,0,"21,087","21,087"
20260105,00652,富邦印度        ,"-3,734",0,"24,429","20,695"
20260105,00703,台新MSCI中國    ,0,0,"17,691","17,691"
20260105,00682U,期元大美元指數  ,0,0,"15,000","15,000"
20260105,00972,野村日本動能高息,"28,000",0,"-18,129","9,871"
20260105,00702,國泰標普低波高息,0,0,"9,000","9,000"
20260105,00730,富邦臺灣優質高息,"-10,000",0,"18,880","8,880"
20260105,009810,玉山全球藍籌100 ,"-1,000",0,"9,737","8,737"
20260105,0053,元大電子        ,0,0,"5,456","5,456"
20260105,00710B,復華彭博非投等債,"-1,000",0,"5,775","4,775"
20260105,00660,元大歐洲50      ,0,0,"4,000","4,000"
20260105,006204,永豐臺灣加權    ,0,0,780,780
20260105,00636K,國泰中國A50+U   ,0,0,0,0
20260105,00643K,群益深証中小+R  ,0,0,0,0
20260105,00625K,富邦上証+R      ,0,0,0,0
20260105,00668K,國泰美國道瓊+U  ,0,0,0,0
20260105,00657K,國泰日經225+U   ,0,0,0,0
20260105,00689R,國泰20年美債反1 ,0,0,0,0
20260105,00775B,新光投等債15+   ,"-2,000",0,"1,075",-925
20260105,006203,元大MSCI台灣    ,0,0,"-1,000","-1,000"
20260105,0057,富邦摩台        ,0,0,"-1,000","-1,000"
20260105,00661,元大日經225     ,"1,880",0,"-5,442","-3,562"
20260105,00736,國泰新興市場    ,0,0,"-4,000","-4,000"
20260105,00643,群益深証中小    ,"24,000",0,"-31,365","-7,365"
20260105,00668,國泰美國道瓊    ,"-2,801",0,"-5,227","-8,028"
20260105,00711B,復華彭博新興債  ,"3,000",0,"-12,219","-9,219"
20260105,00634R,富邦上証反1     ,"-4,000",0,"-6,000","-10,000"
20260105,00709,富邦歐洲        ,0,0,"-11,195","-11,195"
20260105,00656R,國泰中國A50反1  ,0,0,"-13,421","-13,421"
20260105,0055,元大MSCI金融    ,"22,000",0,"-37,451","-15,451"
20260105,00908,富邦入息REITs+  ,"-1,000",0,"-27,460","-28,460"
20260105,00852L,國泰美國道瓊正2 ,0,0,"-43,140","-43,140"
20260105,00956,中信日經高股息  ,"-13,000",0,"-36,216","-49,216"
20260105,00714,群益道瓊美國地產,"-53,000",0,"2,059","-50,941"
20260105,00875,國泰網路資安    ,"-187,000",0,"121,677","-65,323"
20260105,00647L,元大S&P500正2   ,"-2,000",0,"-66,586","-68,586"
20260105,00960,野村全球航運龍頭,"-5,000",0,"-69,731","-74,731"
20260105,00636,國泰中國A50     ,"61,000",0,"-136,862","-75,862"
20260105,009812,野村日本東證    ,"8,000",0,"-86,538","-78,538"
20260105,00763U,期街口道瓊銅    ,"-3,000",0,"-90,818","-93,818"
